,User ID,Date,Start Hour,End Hour
0,1,2023-05-09,00:00:00,0 days 01:00:00
1,1,2023-05-09,01:00:00,0 days 02:00:00
2,1,2023-05-09,02:00:00,0 days 03:00:00
3,1,2023-05-09,03:00:00,0 days 04:00:00
4,1,2023-05-09,04:00:00,0 days 05:00:00
5,1,2023-05-09,08:00:00,0 days 09:00:00
6,1,2023-05-09,09:00:00,0 days 10:00:00
7,1,2023-05-09,12:00:00,0 days 13:00:00
8,1,2023-05-09,13:00:00,0 days 14:00:00
9,1,2023-05-09,14:00:00,0 days 15:00:00
10,1,2023-05-09,15:00:00,0 days 16:00:00
11,1,2023-05-09,16:00:00,0 days 17:00:00
12,1,2023-05-09,17:00:00,0 days 18:00:00
13,1,2023-05-09,18:00:00,0 days 19:00:00
14,1,2023-05-09,19:00:00,0 days 20:00:00
15,1,2023-05-09,20:00:00,0 days 21:00:00
16,1,2023-05-09,21:00:00,0 days 22:00:00
17,1,2023-05-10,05:00:00,0 days 06:00:00
18,1,2023-05-10,07:00:00,0 days 08:00:00
19,1,2023-05-10,09:00:00,0 days 10:00:00
20,1,2023-05-10,12:00:00,0 days 13:00:00
21,1,2023-05-10,14:00:00,0 days 15:00:00
22,1,2023-05-10,15:00:00,0 days 16:00:00
23,1,2023-05-10,16:00:00,0 days 17:00:00
24,1,2023-05-10,18:00:00,0 days 19:00:00
25,1,2023-05-10,19:00:00,0 days 20:00:00
26,1,2023-05-10,22:00:00,0 days 23:00:00
27,1,2023-05-11,00:00:00,0 days 01:00:00
28,1,2023-05-11,02:00:00,0 days 03:00:00
29,1,2023-05-11,03:00:00,0 days 04:00:00
30,1,2023-05-11,04:00:00,0 days 05:00:00
31,1,2023-05-11,05:00:00,0 days 06:00:00
32,1,2023-05-11,06:00:00,0 days 07:00:00
33,1,2023-05-11,08:00:00,0 days 09:00:00
34,1,2023-05-11,09:00:00,0 days 10:00:00
35,1,2023-05-11,10:00:00,0 days 11:00:00
36,1,2023-05-11,12:00:00,0 days 13:00:00
37,1,2023-05-11,13:00:00,0 days 14:00:00
38,1,2023-05-11,15:00:00,0 days 16:00:00
39,1,2023-05-11,16:00:00,0 days 17:00:00
40,1,2023-05-11,17:00:00,0 days 18:00:00
