,User ID,Date,Start Hour,End Hour
0,1,2023-05-09,02:00:00,0 days 03:00:00
1,1,2023-05-09,08:00:00,0 days 09:00:00
2,1,2023-05-09,10:00:00,0 days 11:00:00
3,1,2023-05-09,12:00:00,0 days 13:00:00
4,1,2023-05-09,16:00:00,0 days 17:00:00
5,1,2023-05-09,18:00:00,0 days 19:00:00
6,1,2023-05-09,22:00:00,0 days 23:00:00
7,1,2023-05-10,00:00:00,0 days 01:00:00
8,1,2023-05-10,02:00:00,0 days 03:00:00
9,1,2023-05-10,06:00:00,0 days 07:00:00
10,1,2023-05-10,08:00:00,0 days 09:00:00
11,1,2023-05-10,14:00:00,0 days 15:00:00
12,1,2023-05-10,16:00:00,0 days 17:00:00
13,1,2023-05-10,18:00:00,0 days 19:00:00
14,1,2023-05-10,22:00:00,0 days 23:00:00
15,1,2023-05-11,04:00:00,0 days 05:00:00
16,1,2023-05-11,06:00:00,0 days 07:00:00
17,1,2023-05-11,08:00:00,0 days 09:00:00
18,1,2023-05-11,10:00:00,0 days 11:00:00
19,1,2023-05-11,12:00:00,0 days 13:00:00
20,1,2023-05-11,16:00:00,0 days 17:00:00
21,1,2023-05-11,18:00:00,0 days 19:00:00
22,1,2023-05-11,22:00:00,0 days 23:00:00
23,1,2023-05-12,06:00:00,0 days 07:00:00
24,1,2023-05-12,08:00:00,0 days 09:00:00
25,1,2023-05-12,14:00:00,0 days 15:00:00
26,1,2023-05-12,20:00:00,0 days 21:00:00
27,1,2023-05-13,00:00:00,0 days 01:00:00
28,1,2023-05-13,04:00:00,0 days 05:00:00
29,1,2023-05-13,10:00:00,0 days 11:00:00
30,1,2023-05-13,12:00:00,0 days 13:00:00
31,1,2023-05-13,14:00:00,0 days 15:00:00
32,1,2023-05-13,20:00:00,0 days 21:00:00
33,1,2023-05-13,22:00:00,0 days 23:00:00
34,1,2023-05-14,00:00:00,0 days 01:00:00
35,1,2023-05-14,02:00:00,0 days 03:00:00
36,1,2023-05-14,04:00:00,0 days 05:00:00
37,1,2023-05-14,06:00:00,0 days 07:00:00
38,1,2023-05-14,10:00:00,0 days 11:00:00
39,1,2023-05-14,14:00:00,0 days 15:00:00
40,1,2023-05-14,16:00:00,0 days 17:00:00
41,1,2023-05-14,18:00:00,0 days 19:00:00
42,1,2023-05-14,22:00:00,0 days 23:00:00
43,1,2023-05-15,00:00:00,0 days 01:00:00
44,1,2023-05-15,08:00:00,0 days 09:00:00
45,1,2023-05-15,10:00:00,0 days 11:00:00
46,1,2023-05-15,12:00:00,0 days 13:00:00
47,1,2023-05-15,14:00:00,0 days 15:00:00
48,1,2023-05-15,16:00:00,0 days 17:00:00
49,1,2023-05-15,20:00:00,0 days 21:00:00
50,1,2023-05-15,22:00:00,0 days 23:00:00
51,2,2023-05-09,00:00:00,0 days 01:00:00
52,2,2023-05-09,02:00:00,0 days 03:00:00
53,2,2023-05-09,06:00:00,0 days 07:00:00
54,2,2023-05-09,08:00:00,0 days 09:00:00
55,2,2023-05-09,10:00:00,0 days 11:00:00
56,2,2023-05-09,12:00:00,0 days 13:00:00
57,2,2023-05-09,14:00:00,0 days 15:00:00
58,2,2023-05-09,16:00:00,0 days 17:00:00
59,2,2023-05-09,20:00:00,0 days 21:00:00
60,2,2023-05-09,22:00:00,0 days 23:00:00
61,2,2023-05-10,00:00:00,0 days 01:00:00
62,2,2023-05-10,02:00:00,0 days 03:00:00
63,2,2023-05-10,04:00:00,0 days 05:00:00
64,2,2023-05-10,06:00:00,0 days 07:00:00
65,2,2023-05-10,08:00:00,0 days 09:00:00
66,2,2023-05-10,12:00:00,0 days 13:00:00
