,User ID,Date,Day of Week,Start Hour,End Hour
0,1,2023-05-09,Tuesday,00:00:00,0 days 01:00:00
1,1,2023-05-09,Tuesday,01:00:00,0 days 02:00:00
2,1,2023-05-09,Tuesday,02:00:00,0 days 03:00:00
3,1,2023-05-09,Tuesday,03:00:00,0 days 04:00:00
4,1,2023-05-09,Tuesday,04:00:00,0 days 05:00:00
5,1,2023-05-09,Tuesday,06:00:00,0 days 07:00:00
6,1,2023-05-09,Tuesday,08:00:00,0 days 09:00:00
7,1,2023-05-09,Tuesday,13:00:00,0 days 14:00:00
8,1,2023-05-09,Tuesday,14:00:00,0 days 15:00:00
9,1,2023-05-09,Tuesday,15:00:00,0 days 16:00:00
10,1,2023-05-09,Tuesday,16:00:00,0 days 17:00:00
11,1,2023-05-09,Tuesday,18:00:00,0 days 19:00:00
12,1,2023-05-09,Tuesday,19:00:00,0 days 20:00:00
13,1,2023-05-10,Wednesday,00:00:00,0 days 01:00:00
14,1,2023-05-10,Wednesday,01:00:00,0 days 02:00:00
15,1,2023-05-10,Wednesday,02:00:00,0 days 03:00:00
16,1,2023-05-10,Wednesday,03:00:00,0 days 04:00:00
17,1,2023-05-10,Wednesday,04:00:00,0 days 05:00:00
18,1,2023-05-10,Wednesday,06:00:00,0 days 07:00:00
19,1,2023-05-10,Wednesday,09:00:00,0 days 10:00:00
20,1,2023-05-10,Wednesday,11:00:00,0 days 12:00:00
21,1,2023-05-10,Wednesday,12:00:00,0 days 13:00:00
22,1,2023-05-10,Wednesday,13:00:00,0 days 14:00:00
23,1,2023-05-10,Wednesday,16:00:00,0 days 17:00:00
24,1,2023-05-10,Wednesday,17:00:00,0 days 18:00:00
25,1,2023-05-10,Wednesday,21:00:00,0 days 22:00:00
26,1,2023-05-11,Thursday,00:00:00,0 days 01:00:00
27,1,2023-05-11,Thursday,04:00:00,0 days 05:00:00
28,1,2023-05-11,Thursday,06:00:00,0 days 07:00:00
29,1,2023-05-11,Thursday,07:00:00,0 days 08:00:00
30,1,2023-05-11,Thursday,08:00:00,0 days 09:00:00
31,1,2023-05-11,Thursday,09:00:00,0 days 10:00:00
32,1,2023-05-11,Thursday,10:00:00,0 days 11:00:00
33,1,2023-05-11,Thursday,11:00:00,0 days 12:00:00
34,1,2023-05-11,Thursday,12:00:00,0 days 13:00:00
35,1,2023-05-11,Thursday,13:00:00,0 days 14:00:00
36,1,2023-05-11,Thursday,14:00:00,0 days 15:00:00
37,1,2023-05-11,Thursday,15:00:00,0 days 16:00:00
38,1,2023-05-11,Thursday,16:00:00,0 days 17:00:00
39,1,2023-05-11,Thursday,17:00:00,0 days 18:00:00
40,1,2023-05-11,Thursday,18:00:00,0 days 19:00:00
41,1,2023-05-11,Thursday,20:00:00,0 days 21:00:00
42,1,2023-05-12,Friday,00:00:00,0 days 01:00:00
43,1,2023-05-12,Friday,05:00:00,0 days 06:00:00
44,1,2023-05-12,Friday,07:00:00,0 days 08:00:00
45,1,2023-05-12,Friday,09:00:00,0 days 10:00:00
46,1,2023-05-12,Friday,11:00:00,0 days 12:00:00
47,1,2023-05-12,Friday,13:00:00,0 days 14:00:00
48,1,2023-05-12,Friday,15:00:00,0 days 16:00:00
49,1,2023-05-12,Friday,18:00:00,0 days 19:00:00
